Time(s),Temperature
0,28.77
5,38.16
10,41.56
15,42.32
20,42.56
25,42.60
30,42.63
36,42.67
41,42.67
46,42.63
51,42.63
56,42.6
61,42.56
66,42.53
71,42.56
77,42.5
82,42.46
87,42.43
92,42.39
97,42.36
102,42.36
107,42.32
112,42.29
117,42.29
123,42.22
128,42.19
133,42.15
138,42.15
143,42.12
148,42.08
153,42.05
158,42.01
164,42.01
169,42.01
174,41.94
179,41.94
184,41.87
189,41.91
194,41.81
199,41.81
204,41.77
210,41.77
215,41.74
220,41.74
225,41.67
230,41.67
235,41.6
240,41.6
245,41.56
251,41.53
256,41.53
261,41.53
266,41.5
271,41.46
276,41.46
281,41.39
286,41.39
291,41.36
297,41.36
302,41.32
307,41.29
